#,Key,Artwork,File Type,BPM,Comments,DJ Play Count,Track Title,Artist,Genre,Album,Rating,Release Date,Year,Label,Remixer,Mix Name,Time,Date Added,Size,File Name,Bitrate,Location,Bitdepth
71,5B,,WAV,120.0,OOOLD_SRC_YODJ,5,"The_Balance_Pablo_Fierro,_Lazarusman,_Hyenah_(Original_Mix)_Eb_Major_120__Afro_House_888_05",nan,nan,nan,,nan,0,nan,,,06:54,2023-05-24,69.6 MB,"The_Balance_Pablo_Fierro,_Lazarusman,_Hyenah_(Original_Mix)_Eb_Major_120__Afro_House_888_05.wav",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_63_07-25/The_Balance_Pablo_Fierro,_Lazarusman,_Hyenah_(Original_Mix)_Eb_Major_120__Afro_House_888_05.wav",16
72,8A,,WAV,122.0,OOOLD_SRC_YODJ,2,"Estación_Esperanza_feat._Manu_Chao_Manu_Chao,_Sofia_Kourtesis_(Original_Mix)_A_Minor_16151714__Afro_House_888_08",nan,nan,nan,*****,nan,0,nan,,,05:16,2023-08-03,53.3 MB,"Estación_Esperanza_feat._Manu_Chao_Manu_Chao,_Sofia_Kourtesis_(Original_Mix)_A_Minor_16151714__Afro_House_888_08.wav",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_47_07-25/Estación_Esperanza_feat._Manu_Chao_Manu_Chao,_Sofia_Kourtesis_(Original_Mix)_A_Minor_16151714__Afro_House_888_08.wav",16
73,9A,,AIFF,112.0,OOOLD_SRC_YODJ,4,All of This (Scorpion Kings Remix),"Kabza De Small, DJ Maphorisa, Jorja Smith",House,"All of This Remixes, Vol. 1",,2021-11-19,2021,FAMM,,,06:34,2023-08-08,68.2 MB,All_of_This-BY-Kabza_De_Small_RY_2021_11-DWN_2023_08.aiff,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_45_07-25/All_of_This-BY-Kabza_De_Small_RY_2021_11-DWN_2023_08.aiff,16
74,2A,,AIFF,120.0,OOOLD_SRC_YODJ,2,Oh Chuva (Original Mix),Leo Leonski,Afro House,Oh Chuva,*****,2023-02-01,2023,Night Heat Records,,,04:53,2023-08-08,49.6 MB,Oh_Chuva-BY-Leo_Leonski_(Original_Mix)_KEY_Eb_Major_BPM_17297481_Afro_House__LBL_Night_Heat_Records-RY_2023_02-DWN_2023_08.aiff,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_14_07-25/Oh_Chuva-BY-Leo_Leonski_(Original_Mix)_KEY_Eb_Major_BPM_17297481_Afro_House__LBL_Night_Heat_Records-RY_2023_02-DWN_2023_08.aiff,16
75,9A,,AIFF,120.0,OOOLD_SRC_YODJ,3,August Heat (Club Dub Edit),Leo Leonski,Deep House,August Heat (Club Dub Edit),,2020-08-31,2020,Gitano Records,,,04:38,2023-08-08,47.6 MB,August_Heat-BY-Leo_Leonski_(Club_Dub_Edit)_KEY_E_Minor_BPM_15187165_Deep_House__LBL_Gitano_Records-RY_2020_08-DWN_2023_08.aiff,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_50_07-25/August_Heat-BY-Leo_Leonski_(Club_Dub_Edit)_KEY_E_Minor_BPM_15187165_Deep_House__LBL_Gitano_Records-RY_2020_08-DWN_2023_08.aiff,16
76,6A,,AIFF,122.0,OOOLD_SRC_YODJ,1,Must Be Johnny (Original Mix),Leo Leonski,Afro House,Gimme Money,,2020-12-03,2020,Gitano Records,,,05:02,2023-08-08,51.2 MB,Must_Be_Johnny-BY-Leo_Leonski_(Original_Mix)_KEY_G_Minor_BPM_14473489_Afro_House__LBL_Gitano_Records-RY_2020_12-DWN_2023_08.aiff,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_14_07-25/Must_Be_Johnny-BY-Leo_Leonski_(Original_Mix)_KEY_G_Minor_BPM_14473489_Afro_House__LBL_Gitano_Records-RY_2020_12-DWN_2023_08.aiff,16
77,1B,,AIFF,122.0,OOOLD_SRC_YODJ,6,Sacude (Louie Vega Bronx Mix),Tony Touch,Afro House,Sacude,,2021-07-23,2021,Vega Records,,,06:49,2023-08-08,69.2 MB,Sacude_2021-BY-Tony_Touch_(Louie_Vega_Bronx_Mix)_KEY_E_Minor_BPM_15481272_Afro_House_Louie_Vega_LBL_Vega_Records-RY_2021_07-DWN_2023_08.aiff,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_14_07-25/Sacude_2021-BY-Tony_Touch_(Louie_Vega_Bronx_Mix)_KEY_E_Minor_BPM_15481272_Afro_House_Louie_Vega_LBL_Vega_Records-RY_2021_07-DWN_2023_08.aiff,16
78,3A,,AIFF,107.6,OOOLD_SRC_YODJ,7,Cityfade (Original Mix),Against All Logic,Breaks / Breakbeat / UK Bass,2012 - 2017,*****,2018-02-17,2018,Other People,,,05:40,2023-09-05,57.6 MB,Cityfade-BY-Against_All_Logic_(Original_Mix)_KEY_Bb_Minor_BPM_10242171_Breaks___Breakbeat___UK_Bass__LBL_Other_People-RY_2018_02-DWN_2023_09.aiff,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_44_07-25/Cityfade-BY-Against_All_Logic_(Original_Mix)_KEY_Bb_Minor_BPM_10242171_Breaks___Breakbeat___UK_Bass__LBL_Other_People-RY_2018_02-DWN_2023_09.aiff,16
79,9A,,MP3,103.7,OOOLD_SRC_YODJ,0,Los Tarantos,Nickodemus,Other,WonderWorld: 10 Years of Painting Outside the Lines,,nan,2005,nan,,,05:59,2025-03-16,13.9 MB,Los Tarantos.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_72_07-25__00gnr_16_LANGUAGES/Los Tarantos.mp3,16
80,1A,,AIFF,120.0,OOOLD_SRC_YODJ,10,Que Nadie Se Meta Conmigo (Martin Strauts Remix),"Dario Nunez, Niltöx",Afro House,Que Nadie Se Meta Conmigo,*****,2020-04-27,2020,Audiometrica,,,06:21,2023-04-14,64.5 MB,"Dario Nunez, Niltöx - Que Nadie Se Meta C-1_5_1.aiff",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_29_07-25/Dario Nunez, Niltöx - Que Nadie Se Meta C-1_5_1.aiff",16
